	strings	type
891	cherry creek	query
892	chief of	query
893	chiefly located in	query
894	chiefly remembered for	query
895	child of	query
896	chinese name translates as	query
897	chinese title	query
898	chooses to normalize	query
899	choreographed	query
900	choreographed by	query
901	choreography created by	query
902	chose	query
903	chose brother in law as	query
904	chosen	query
905	chosen as	query
906	chosen by	query
907	chosen king by	query
908	chosen to receive	query
909	christened	query
910	christened on	query
911	chronicled	query
912	chronicled by	query
913	chronicled in	query
914	chronicles	query
915	chronicles the life of	query
916	chronicles the lives of	query
917	chronology dates reign of	query
918	churchwarden of	query
919	cinematography by	query
920	cinematography performed by	query
921	circumscribed on	query
922	cited as	query
923	cited as influential modern timbalero with	query
924	cited as the beginning of	query
925	claimant to	query
926	claimant to the throne of	query
927	claimed	query
928	claimed by	query
929	claimed legitimacy on grounds of	query
930	claimed nationality as	query
931	claimed the emirate of	query
932	claimed the life of	query
933	claimed the throne of	query
934	claimed the title	query
935	claimed to be spouse of	query
936	claims	query
937	claims to be	query
938	claims to be in	query
939	clashed with	query
940	class of	query
941	close confidante of	query
942	close political associate of	query
943	closed	query
944	closed in	query
945	closed on	query
946	co author of	query
947	co authored	query
948	co created by	query
949	co creator of	query
950	co devised	query
951	co directed	query
952	co directed by	query
953	co director of	query
954	co edited a local student magazine with	query
955	co editor of	query
956	co founded	query
957	co founded by	query
958	co founder of	query
959	co invented	query
960	co leads	query
961	co led by	query
962	co owned	query
963	co presented with	query
964	co produced	query
965	co produced and released by	query
966	co produced by	query
967	co production between	query
968	co regent of	query
969	co regent with	query
970	co ruler in	query
971	co scripted	query
972	co starred in	query
973	co stars	query
974	co stars as	query
975	co stars with	query
976	co winner of	query
977	co writer of	query
978	co written by	query
979	co written for	query
980	co written with	query
981	co wrote	query
982	co wrote and produced	query
983	co wrote screenplay for	query
984	co wrote with	query
985	coached	query
986	coached at	query
987	coached by	query
988	coached for	query
989	coached from	query
990	coached until	query
991	coaches	query
992	coauthored papers with	query
993	codified	query
994	coerces	query
995	coined the term	query
996	collaborated in	query
997	collaborated on	query
998	collaborated with	query
999	collaborator with	query
1000	collapsed in	query
1001	collapsed into	query
1002	colleague of	query
1003	collected	query
1004	collected at	query
1005	collected by	query
1006	collection dating from	query
1007	collects money for	query
1008	colonel in	query
1009	colonel of	query
1010	combat against	query
1011	combined	query
1012	combined the positions of	query
1013	combined with	query
1014	combines	query
1015	combines genres	query
1016	combines musical traditions of	query
1017	comedy play written in	query
1018	comes from	query
1019	commanded	query
1020	commanded a brigade at	query
1021	commanded a division of the crusader army during	query
1022	commanded by	query
1023	commanded the fleet of	query
1024	commanded troops at	query
1025	commander in	query
1026	commander in chief of	query
1027	commander of	query
1028	commemorated	query
1029	commenced in	query
1030	comment motivated	query
1031	commentary during	query
1032	commented about	query
1033	commented on	query
1034	comments on	query
1035	commissioned	query
1036	commissioned by	query
1037	commissioned for	query
1038	commissioned in	query
1039	commissioned on	query
1040	commissioned to write	query
1041	commits	query
1042	commits funding support to	query
1043	committed	query
1044	committed suicide after the defeat at	query
1045	commonly known as	query
1046	commonly self styled as	query
1047	communicates with	query
1048	companion of	query
1049	compared	query
1050	compared to	query
1051	compelled to leave	query
1052	compete for affections of	query
1053	compete in	query
1054	competed against	query
1055	competed at	query
1056	competed for	query
1057	competed in	query
1058	competed on	query
1059	competed with	query
1060	competes for	query
1061	competes in	query
1062	competes with	query
1063	competing in	query
1064	competitors include	query
1065	compiled	query
1066	compiling	query
1067	completed	query
1068	completed and distributed in	query
1069	completed by	query
1070	completed college career in	query
1071	completed his career as	query
1072	completed his studies at	query
1073	completed in	query
1074	completed post production in	query
1075	completed studies at	query
1076	completely deaf in	query
1077	completes	query
1078	composed	query
1079	composed by	query
1080	composed for	query
1081	composed in	query
1082	composed lyrics to	query
1083	composed music for	query
1084	composed of	query
1085	composed song for	query
1086	composed the music of	query
1087	composed the original score for	query
1088	composed the theme for	query
1089	composed with	query
1090	composer	query
1091	composer of	query
1092	composes	query
1093	comprises	query
1094	conceived	query
1095	conceived and named for	query
1096	conceived following divorce from	query
1097	concentrated its foreign language production during	query
1098	concerned about	query
1099	concerns	query
1100	concerns the saga of	query
1101	concerns themes of	query
1102	concluded his tenure on	query
1103	concluded on	query
1104	condemned	query
1105	conducted	query
1106	conducted fleet from	query
1107	conducted investigations during	query
1108	conducted raids during	query
1109	conducted raids in	query
1110	conducted raids on	query
1111	conducted studies of	query
1112	conducted the orchestra of	query
1113	conducts research on	query
1114	conferred title in	query
1115	confirmed	query
1116	confirmed and patronized	query
1117	confirmed as	query
1118	confirmed as king of	query
1119	confirmed donation to	query
1120	confirmed royal charters of	query
1121	confirmed the style of	query
1122	confiscated lands of	query
1123	confluence with	query
1124	confluences with	query
1125	confronted	query
1126	confronts	query
1127	confused with	query
1128	connected to	query
1129	connected with	query
1130	connects	query
1131	conquered	query
1132	conquered by	query
1133	conquered the castles of	query
1134	consecrated	query
1135	consecrated in	query
1136	consented to	query
1137	consented to the annulment of the marriage in	query
1138	considered	query
1139	considered a major figure in	query
1140	considered as	query
1141	considered candidate for	query
1142	considered groundbreaking for	query
1143	considered offensive to	query
1144	considered to be	query
1145	considered to direct	query
1146	consist mainly of	query
1147	consisted of	query
1148	consists of	query
1149	consolidated	query
1150	consolidated power in	query
1151	consort of	query
1152	conspired with	query
1153	constructed	query
1154	constructed on	query
1155	consul in	query
1156	consulting chemist to	query
1157	contacted	query
1158	contacted by	query
1159	contain	query
1160	contained content about	query
1161	contained expansionism of	query
1162	contains	query
1163	contains material on	query
1164	contains references to	query
1165	contains works by	query
1166	contemplated the idea of making a film based on	query
1167	contemporary of	query
1168	continued	query
1169	continued by	query
1170	continued career as	query
1171	continued conquests as far west as	query
1172	continued conquests in	query
1173	continued germanic studies at	query
1174	continued in partnership until	query
1175	continued into	query
1176	continued on	query
1177	continued research on	query
1178	continued to direct films in	query
1179	continued to produce	query
1180	continued under	query
1181	continued until	query
1182	continued working with	query
1183	continues the story of	query
1184	continues to	query
1185	continues to tour with	query
1186	contracts	query
1187	contrasts with	query
1188	contributed	query
1189	contributed by	query
1190	contributed music for	query
1191	contributed songs to	query
1192	contributed the voice of	query
1193	contributed to	query
1194	contributions to	query
1195	contributor of	query
1196	contributor to	query
1197	controlled	query
1198	controlled by	query
1199	controlling shareholder of	query
1200	converge with	query
1201	conversion to	query
1202	converted from	query
1203	converted to	query
1204	converts	query
1205	convicted by	query
1206	convicted for	query
1207	convicted of	query
1208	convinced	query
1209	convinced islanders to stay during	query
1210	convinced producers to finance	query
1211	cooperated with	query
1212	coordinated	query
1213	coproduction between	query
1214	copy of	query
1215	copyrighted	query
1216	core plot elements adapted from	query
1217	coronation in	query
1218	corresponded with	query
1219	correspondence held at	query
1220	costarred with	query
1221	costumes designed by	query
1222	could bat	query
1223	could feed oil via	query
1224	could not allow buenos aires to	query
1225	could not take seat in	query
1226	could speak	query
1227	count of	query
1228	count of holland	query
1229	count of mortagne and	query
1230	count of mortagne from	query
1231	count of perche from	query
1232	count of perche until	query
1233	count palatine of	query
1234	count palatine of sulzbach from	query
1235	countess consort of	query
1236	countess of	query
1237	court historian of	query
1238	courted	query
1239	courtesy name	query
1240	cousin of	query
1241	cover	query
1242	cover and interviews stars included	query
1243	cover of	query
1244	covered	query
1245	covered by	query
1246	covered information concerning	query
1247	covered the song	query
1248	covers	query
1249	covers part of	query
1250	coveted	query
1251	cowriter of	query
1252	cracked	query
1253	crafted images that celebrate	query
1254	crashes into	query
1255	created	query
1256	created as	query
1257	created by	query
1258	created for	query
1259	created garden with	query
1260	created in	query
1261	created projects with	query
1262	created the line of the house	query
1263	created through partnership with	query
1264	created to facilitate	query
1265	created trio with	query
1266	creates	query
1267	creating	query
1268	creating mutants with	query
1269	creations incorporated	query
1270	creator of	query
1271	credited	query
1272	credited as	query
1273	credited as arranger of	query
1274	credited by	query
1275	credited for	query
1276	credited in	query
1277	credited screenplay by	query
1278	credited to	query
1279	credited with	query
1280	credited with being the first	query
1281	credited with directing	query
1282	credited with introducing	query
1283	credited with launching the careers of	query
1284	credited with setting the template for	query
1285	credits	query
1286	cremated at	query
1287	cremation held at	query
1288	critic of	query
1289	criticised	query
1290	criticized	query
1291	criticized as	query
1292	criticized for	query
1293	criticizes	query
1294	critique of	query
1295	crossed 50 crore mark at	query
1296	crosses	query
1297	crowned	query
1298	crowned as	query
1299	crowned at	query
1300	crowned by	query
1301	crowned emperor by	query
1302	crowned empress on	query
1303	crowned himself emperor with the title	query
1304	crowned in	query
1305	crowned king of burgundy at	query
1306	crowned king of italy on	query
1307	culminating with	query
1308	curated the exhibition	query
1309	current coach is	query
1310	current leader of	query
1311	current status	query
1312	currently lives in	query
1313	customers include	query
1314	cut	query
1315	cut in	query
1316	cuts	query
1317	czechoslovak entry for	query
1318	damaged	query
1319	danced for	query
1320	danced in	query
1321	dancer in	query
1322	date of birth	query
1323	date of death	query
1324	dated	query
1325	dated from	query
1326	dated reign of unnamed judge to	query
1327	dated to	query
1328	dates pharnavaz s rule to	query
1329	dates reign to	query
1330	daughter in law was	query
1331	daughter of	query
1332	deals with	query
1333	dealt a blow to	query
1334	death compensated by	query
1335	death confirmed as	query
1336	death date	query
1337	death described by	query
1338	death divided his kingdom among	query
1339	death drew attention to	query
1340	death in	query
1341	death probably caused by	query
1342	death rumored to be result of	query
1343	debut album released in	query
1344	debut feature was	query
1345	debut film was	query
1346	debut in	query
1347	debut in film	query
1348	debut novel published in	query
1349	debut single	query
1350	debuted as	query
1351	debuted as a member of	query
1352	debuted as director with	query
1353	debuted as film music director in	query
1354	debuted at	query
1355	debuted during	query
1356	debuted for	query
1357	debuted in	query
1358	debuted in direction with	query
1359	debuted on	query
1360	debuted on album of	query
1361	debuted single	query
1362	debuted under	query
1363	decide to manufacture	query
1364	decided	query
1365	decided against	query
1366	decided to issue	query
1367	decided to launch	query
1368	decided to not direct	query
1369	decided to sell	query
1370	decided to take	query
1371	decides to record	query
1372	decides to run in	query
1373	declared	query
1374	declared allegiance to	query
1375	declared for	query
1376	declared independence from	query
1377	declared outlaw by	query
1378	decorated	query
1379	decorated with	query
1380	dedicated	query
1381	dedicated the seventh reconstruction of	query
1382	dedicated time to	query
1383	dedicated to	query
1384	deemed a threat to	query
1385	defeated	query
1386	defeated and killed	query
1387	defeated at	query
1388	defeated by	query
1389	defeated in	query
1390	defeated in battle by	query
1391	defended	query
1392	defended claims on	query
1393	defending champion of	query
1394	defends	query
1395	defied	query
1396	defined by	query
1397	deified by	query
