	strings	type
285	11 january 1961	query
286	11 january 2002	query
287	11 january 2010	query
288	11 july 1302	query
289	11 july 1362	query
290	11 july 1770	query
291	11 july 1955	query
292	11 june	query
293	11 june 1724	query
294	11 june 1726	query
295	11 june 1801	query
296	11 june 1900	query
297	11 june 1910	query
298	11 june 1936	query
299	11 march 1214	query
300	11 march 1895	query
301	11 march 1905	query
302	11 march 1977	query
303	11 march 2016	query
304	11 may 1033	query
305	11 may 1411	query
306	11 may 1568	query
307	11 may 1820	query
308	11 may 1982	query
309	11 may 1998	query
310	11 may 2016	query
311	11 november 1288	query
312	11 november 1887	query
313	11 november 1933	query
314	11 november 1944	query
315	11 november 1961	query
316	11 november 1968	query
317	11 november 1974	query
318	11 november 1979	query
319	11 november 2011	query
320	11 november 875	query
321	11 october 1640	query
322	11 october 1967	query
323	11 people born disabled due to thalidomide	query
324	11 september 1627	query
325	11 september 1747	query
326	11 september 1911	query
327	11 september 1950	query
328	11 september 2015	query
329	110	query
330	110 metres hurdles	query
331	110 minutes	query
332	1104	query
333	111 productions	query
334	111 rooms	query
335	1114	query
336	1117	query
337	1118	query
338	112 charted singles on billboard	query
339	1121	query
340	1125	query
341	1130	query
342	1130s	query
343	1131	query
344	1135	query
345	1139	query
346	114 first class runs	query
347	1143	query
348	1147	query
349	1147 to 1152	query
350	115 episodes	query
351	116 minutes	query
352	116 yards	query
353	1160	query
354	1162	query
355	1166	query
356	1170	query
357	1171	query
358	1179	query
359	1180	query
360	1182	query
361	1185	query
362	1190	query
363	1190 in asia minor while leading an army in the third crusade	query
364	1193	query
365	1194	query
366	1196	query
367	1197	query
368	1198	query
369	11th baron petre	query
370	11th baroness dacre	query
371	11th berlin international film festival	query
372	11th century	query
373	11th duke of medina sidonia	query
374	11th earl of airlie	query
375	11th earl of carlisle	query
376	11th earl of denbigh	query
377	11th earl of desmond	query
378	11th earl of pembroke	query
379	11th earl of shrewsbury	query
380	11th earl of strathmore and kinghorne	query
381	11th earl of warwick	query
382	11th earl of waterford	query
383	11th moscow international film festival	query
384	11th peshwa	query
385	12	query
386	12 0 match	query
387	12 april 1237	query
388	12 april 1860	query
389	12 april 1914	query
390	12 april 1969	query
391	12 ascap awards	query
392	12 august 1688	query
393	12 august 1843	query
394	12 august 1932	query
395	12 august 1942	query
396	12 august 1977	query
397	12 august 1981	query
398	12 august 1995	query
399	12 august 2000	query
400	12 bar blues melody	query
401	12 december 1398	query
402	12 december 1875	query
403	12 december 1995	query
404	12 districts	query
405	12 february 1480	query
406	12 february 1654	query
407	12 february 1898	query
408	12 february 1934	query
409	12 february 1935	query
410	12 january 1666	query
411	12 january 1740	query
412	12 january 1956	query
413	12 january 1968	query
414	12 january 1974	query
415	12 july 1995	query
416	12 july 1996	query
417	12 june 1715	query
418	12 june 1767	query
419	12 june 1967	query
420	12 june 1981	query
421	12 june 1991	query
422	12 march 1602	query
423	12 march 1941	query
424	12 march 1957	query
425	12 march 1972	query
426	12 march 1989	query
427	12 may 1109	query
428	12 may 1515	query
429	12 may 1692	query
430	12 may 1848	query
431	12 may 1902	query
432	12 may 1907	query
433	12 minute short film frankenstein	query
434	12 november	query
435	12 november 1649	query
436	12 november 1997	query
437	12 november 1998	query
438	12 november 2014	query
439	12 october  1945	query
440	12 october 1918	query
441	12 october 1938	query
442	12 october 1954	query
443	12 october 1983	query
444	12 october 2012	query
445	12 on the us billboard hot 100	query
446	12 separate weekly chapters	query
447	12 september 1678	query
448	12 september 1990	query
449	12 year old runaway charles andr  bourassa	query
450	1202	query
451	1204	query
452	1206	query
453	1207	query
454	1210	query
455	1215	query
456	1216	query
457	1218	query
458	1218 and 1271	query
459	1221	query
460	1225	query
461	1229	query
462	123 films	query
463	1230	query
464	1232	query
465	1233	query
466	125 films	query
467	125 movies	query
468	1251	query
469	1253	query
470	1257	query
471	1260	query
472	1263 1323	query
473	127 feature films	query
474	127 hours	query
475	1271	query
476	1273	query
477	1275	query
478	1277	query
479	1279	query
480	1280	query
481	1282	query
482	1285	query
483	1286	query
484	1288	query
485	129 in 2006	query
486	129 million worldwide	query
487	1296	query
488	1298	query
489	12th baron dacre	query
490	12th berlin international film festival	query
491	12th century	query
492	12th duke of devonshire	query
493	12th earl of airlie	query
494	12th earl of chesterfield	query
495	12th earl of denbigh	query
496	12th earl of mar	query
497	12th earl of strathmore and kinghorne	query
498	12th edition of copa libertadores	query
499	12th in eurovision song contest in 1998	query
500	12th marbella international film festival	query
501	12th peshwa of the maratha empire	query
502	13	query
503	13 3 million	query
504	13 700 000 views	query
505	13 april 1113	query
506	13 april 1665	query
507	13 april 1672	query
508	13 april 1707	query
509	13 april 1814	query
510	13 april 1931	query
511	13 april 1965	query
512	13 april 1998	query
513	13 april 2018	query
514	13 august 1752	query
515	13 august 1899	query
516	13 august 1957	query
517	13 august 2012	query
518	13 august 2014	query
519	13 children	query
520	13 december 1538	query
521	13 december 1683	query
522	13 december 1883	query
523	13 december 1961	query
524	13 december 1969	query
525	13 february 1569	query
526	13 february 1787	query
527	13 february 1887	query
528	13 february 1890	query
529	13 february 1898	query
530	13 february 1956	query
531	13 institutions	query
532	13 january 1200	query
533	13 january 1598	query
534	13 january 1967	query
535	13 january 1998	query
536	13 january 2014	query
537	13 july 1608	query
538	13 july 1876	query
539	13 july 1899	query
540	13 july 1914	query
541	13 july 1941	query
542	13 july 1947	query
543	13 july 1948	query
544	13 july 1973	query
545	13 july 1986	query
546	13 july 1987	query
547	13 july 2004	query
548	13 july and 14 august 1343	query
549	13 june 1511	query
550	13 june 1588	query
551	13 june 1898	query
552	13 june 1910	query
553	13 june 1967	query
554	13 june 1990	query
555	13 march 1852	query
556	13 march 1905	query
557	13 march 1957	query
558	13 march 1960	query
559	13 may 1604	query
560	13 may 1846	query
561	13 may 1923	query
562	13 may 1928	query
563	13 may 1931	query
564	13 may 1936	query
565	13 may 1938	query
566	13 may 1983	query
567	13 may 2011	query
568	13 novels	query
569	13 november 1651	query
570	13 november 1715	query
571	13 november 1810	query
572	13 november 1815	query
573	13 november 1900	query
574	13 november 1914	query
575	13 november 1969	query
576	13 october	query
577	13 october 1836	query
578	13 october 1837	query
579	13 october 1978	query
580	13 september 1604	query
581	13 september 1676	query
582	13 september 1687	query
583	13 september 1865	query
584	13 september 1902	query
585	13 september 1925	query
586	13 september 1930	query
587	13 september 1954	query
588	13 times	query
589	13 years	query
590	130 employee agency	query
591	130 films	query
592	1303	query
593	1308 10	query
594	1309	query
595	131 million domestically	query
596	1317	query
597	1318	query
598	1321 ce	query
599	1322	query
600	1323   1324	query
601	1324	query
602	1327	query
603	132nd district	query
604	132nd our gang short	query
605	1331 32	query
606	1334	query
607	1335 36	query
608	1336 ce	query
609	1337	query
610	1338	query
611	1339	query
612	134	query
613	134 films	query
614	1340	query
615	1342	query
616	1345	query
617	1347	query
618	135 bristol road	query
619	1355	query
620	1360	query
621	1363	query
622	1364	query
623	1367	query
624	1368	query
625	1371 to 1379	query
626	1374	query
627	1375	query
628	1377	query
629	1380	query
630	1383	query
631	1386	query
632	1389	query
633	1390	query
634	1391	query
635	1392	query
636	1393	query
637	1395	query
638	13th aunt	query
639	13th berlin international film festival	query
640	13th century	query
641	13th earl of airlie	query
642	13th earl of dalhousie	query
643	13th earl of warwick	query
644	13th emperor of nguy n dynasty	query
645	13th moscow international film festival	query
646	14	query
647	14   platinum certification from riaa	query
648	14  15th at semmering 1926	query
649	14 april 1604	query
650	14 april 1659	query
651	14 april 1738	query
652	14 april 1921	query
653	14 april 1935	query
654	14 april 1978	query
655	14 april 2014	query
656	14 august 1727	query
657	14 august 1776	query
658	14 august 1928	query
659	14 august 1989	query
660	14 august 1990	query
661	14 august 2014	query
662	14 december 1757	query
663	14 december 1787	query
664	14 december 1788	query
665	14 december 1833	query
666	14 december 1927	query
667	14 december 1940	query
668	14 december 1972	query
669	14 february 1718	query
670	14 february 1822	query
671	14 february 1841	query
672	14 february 1850	query
673	14 february 1882	query
674	14 february 1960	query
675	14 february 1986	query
676	14 february 2002	query
677	14 films	query
678	14 january 1729	query
679	14 january 1861	query
680	14 january 1956	query
681	14 january 1959	query
682	14 january 1978	query
683	14 january 1985	query
684	14 january 1991	query
685	14 july 1623	query
686	14 july 1895	query
687	14 july 1918	query
688	14 july 1967	query
689	14 june 1400	query
690	14 june 1792	query
691	14 june 1894	query
692	14 june 1926	query
693	14 june 1953	query
694	14 june 2017	query
695	14 march 1603	query
696	14 march 1610	query
697	14 march 1917	query
698	14 march 1931	query
699	14 march 1947	query
700	14 march 1973	query
701	14 may 1553	query
702	14 may 1900	query
703	14 may 1943	query
704	14 may 1945	query
705	14 may 2001	query
706	14 november 1814	query
707	14 november 1911	query
708	14 november 1914	query
709	14 november 2011	query
710	14 november 2015	query
711	14 october 1542	query
712	14 october 1617	query
713	14 october 1709	query
714	14 october 1947	query
715	14 on hot dance club songs chart in the us	query
716	14 on the charts	query
717	14 people to extraordinary rendition	query
718	14 schools	query
719	14 september 1960	query
720	14 september ad 23	query
721	14 time indianapolis 500 competitor	query
722	1402   1413	query
723	1404	query
724	1407	query
725	1409	query
726	1410	query
727	1411	query
728	1415	query
729	1417	query
730	1420	query
731	1425	query
732	1426	query
733	1430s	query
734	1435	query
735	1439	query
736	14423 runs in leinster senior league cricket	query
737	1449	query
738	1450	query
739	1453   1505	query
740	1458	query
741	1460	query
742	1460 1525	query
743	1461   1468	query
744	1465	query
745	1465   24 april 1513	query
746	1468	query
747	1471	query
748	1474	query
749	1477	query
750	1478	query
751	1480	query
752	1481	query
753	1486	query
754	1486 1534	query
755	1487	query
756	1487 1499	query
757	1488	query
758	1490	query
759	1491	query
760	1492	query
761	1495 amasya	query
762	14th baron audley	query
763	14th berlin international film festival	query
764	14th best liberal arts college in the nation in 2020	query
765	14th bishop of massachusetts	query
766	14th earl of kellie	query
767	14th earl of strathmore and kinghorne	query
768	14th moscow international film festival	query
769	14th president of the united states	query
770	15	query
771	15 5 million albums in the united states	query
772	15 april 1053	query
773	15 april 1723	query
774	15 april 1929	query
775	15 april 1946	query
776	15 april 1960	query
777	15 april 1966	query
778	15 april 1991	query
779	15 august 1823	query
780	15 august 1901	query
781	15 august 1932	query
782	15 august 1955	query
783	15 august 1972	query
784	15 bet awards	query
785	15 competitive grammy awards	query
786	15 december 1570	query
787	15 december 1849	query
788	15 december 1851	query
789	15 december 1879	query
790	15 december 1894	query
791	15 december 1907	query
792	15 december 1954	query
793	15 december 1972	query
794	15 december 1979	query
795	15 december 1981	query
796	15 episodes	query
797	15 february 1723	query
798	15 february 1950	query
799	15 february 1952	query
800	15 films	query
801	15 january 1249	query
802	15 january 1292	query
803	15 january 1882	query
804	15 january 1892	query
805	15 january 1996	query
806	15 july 1472	query
807	15 july 1497	query
808	15 july 1740	query
809	15 july 1827	query
810	15 july 1845	query
811	15 july 1934	query
812	15 july 1952	query
813	15 june 1587	query
814	15 june 1967	query
815	15 june 1980	query
816	15 june 1982	query
817	15 june 1996	query
818	15 languages	query
819	15 march 1521	query
820	15 march 1526	query
821	15 march 1632	query
822	15 march 1688	query
823	15 march 1710 1	query
824	15 march 1721	query
825	15 march 1913	query
826	15 march 1944	query
827	15 march 1976	query
828	15 march 1978	query
829	15 march 1991	query
830	15 may 1459	query
831	15 may 1538	query
832	15 may 1591	query
833	15 may 1670	query
834	15 may 1683	query
835	15 may 1699	query
836	15 may 1845	query
837	15 may 1867	query
838	15 may 1974	query
839	15 may 2006	query
840	15 november	query
841	15 november 1184	query
842	15 november 1707	query
843	15 november 1822	query
844	15 november 1915	query
845	15 november 1955	query
846	15 november 1990	query
847	15 october 1566	query
848	15 october 1863	query
849	15 october 1913	query
850	15 october 1920	query
851	15 october 1952	query
852	15 october 1964	query
853	15 october 1972	query
854	15 october 2004	query
855	15 september 1786	query
856	15 september 1840	query
857	15 years old by columbia records	query
858	150 feature films	query
859	1500	query
860	1501 to 23 may 1524	query
861	1502	query
862	1504	query
863	1505	query
864	1510	query
865	1512	query
866	1514	query
867	1515	query
868	1516	query
869	1517	query
870	1526	query
871	1528	query
872	1529	query
873	1533	query
874	1535	query
875	1536	query
876	1540	query
877	1541	query
878	1543	query
879	1544	query
880	1545 1554	query
881	1549	query
882	155 bc	query
883	155 million in india	query
884	1550	query
885	1554	query
886	1558	query
887	1559	query
888	156 films	query
889	1560   1625	query
890	1562 to 1564	query
891	1568	query
892	1569	query
893	156th avenue se	query
894	1571	query
895	1574	query
896	1576	query
897	1577	query
898	158 films	query
899	1584	query
900	1586	query
901	1588	query
902	1589	query
903	159 films	query
904	1592	query
905	1593	query
906	1595   1641	query
907	1596	query
908	1598	query
909	1599	query
910	15th baron willoughby of parham	query
911	15th earl of cork	query
912	15th earl of erroll	query
913	15th earl of morton	query
914	15th earl of orrery	query
915	15th moscow international film festival	query
916	16	query
917	16 albums	query
918	16 april 1715	query
919	16 april 1883	query
920	16 april 1897	query
921	16 april 1911	query
922	16 april 1963	query
923	16 april 1989	query
924	16 april 2008	query
925	16 august 1157	query
926	16 august 1445	query
927	16 august 1454	query
928	16 august 1682	query
929	16 august 1892	query
930	16 august 1932	query
931	16 august 1962	query
932	16 august 1970	query
933	16 december 1785	query
934	16 december 1883	query
935	16 december 1909	query
936	16 december 1932	query
937	16 december 1955	query
938	16 december 1977	query
939	16 february 1636	query
940	16 february 1819	query
941	16 february 1904	query
942	16 february 1919	query
943	16 february 1984	query
944	16 january 1373	query
945	16 january 1932	query
946	16 january 1965	query
947	16 january 1983	query
948	16 january 1984	query
949	16 july 1164	query
950	16 july 1669	query
951	16 july 1691	query
952	16 july 1874	query
953	16 july 1880	query
954	16 june 1584	query
955	16 june 1626	query
956	16 june 1908	query
957	16 june 1911	query
958	16 june 1950	query
959	16 june 1977	query
960	16 june 2017	query
961	16 march 1612	query
962	16 march 1633	query
963	16 march 1747	query
964	16 march 1883	query
965	16 march 1890	query
966	16 march 1941	query
967	16 march 1969	query
968	16 march 1972	query
969	16 may 1746	query
970	16 may 1905	query
971	16 may 1939	query
972	16 million in the us	query
973	16 mm	query
974	16 mm feature  julius caesar	query
975	16 mm film	query
976	16 mm version of  peer gynt	query
977	16 november 1532	query
978	16 november 1852	query
979	16 november 1903	query
980	16 november 2006	query
981	16 october 1519  kashan or isfahan	query
982	16 october 1524	query
983	16 october 1787	query
984	16 october 1854	query
985	16 october 1867	query
986	16 october 1934	query
987	16 october 1947	query
988	16 october 1969	query
989	16 october 1986	query
990	16 october 2000	query
991	16 olympic gold medals	query
992	16 september 1893	query
993	16 september 1966	query
994	16 times	query
995	16 year old hustler lawrence arcouette	query
996	16 years old in 1528	query
997	1600	query
998	1603	query
999	1604	query
1000	1607 8 1664	query
1001	1608	query
1002	1611   1631	query
1003	1612	query
1004	1613	query
1005	1614	query
1006	1620	query
1007	1620 1640	query
1008	1622	query
1009	1623	query
1010	1624 1672	query
1011	1625	query
1012	1627	query
1013	1628	query
1014	1628 1698	query
1015	1630	query
1016	1631	query
1017	1633	query
1018	1637	query
1019	1639	query
1020	1641	query
1021	1642	query
1022	1643	query
1023	1644	query
1024	1651	query
1025	1653	query
1026	1654	query
1027	1655	query
1028	1656	query
1029	1659	query
1030	166	query
1031	1660	query
1032	1663	query
1033	1664	query
1034	1665	query
1035	1667	query
1036	1667 and 1713	query
1037	1671	query
1038	1672	query
1039	1673	query
1040	1674	query
1041	1675	query
1042	1677	query
1043	1679	query
1044	168 as of 2010	query
1045	1680	query
1046	1681	query
1047	1685	query
1048	1690	query
1049	1691	query
1050	1692	query
1051	1694	query
1052	1695	query
1053	1696	query
1054	1697	query
1055	16th baron	query
1056	16th century croatian slovenian peasant revolt in anno domini 1573	query
1057	16th century europe	query
1058	16th century sweden	query
1059	16th district	query
1060	16th earl of strathmore and kinghorne	query
1061	16th march	query
1062	16th moscow international film festival	query
1063	16th to 18th centuries	query
1064	17	query
1065	17 april 1630	query
1066	17 april 1930	query
1067	17 april 1960	query
1068	17 august 1845	query
1069	17 august 1865	query
1070	17 august 1878	query
1071	17 august 1909	query
1072	17 august 1935	query
1073	17 companies	query
1074	17 dec 1870	query
1075	17 december 1518	query
1076	17 december 1612	query
1077	17 december 1638	query
1078	17 december 1925	query
1079	17 december 1987	query
1080	17 december 844	query
1081	17 february 1861	query
1082	17 february 1909	query
1083	17 february 1951	query
1084	17 february 1963	query
1085	17 february 1964	query
1086	17 january 1458	query
1087	17 january 1758	query
1088	17 january 1764	query
1089	17 january 1863	query
1090	17 january 1882	query
1091	17 january 1943	query
1092	17 january 1952	query
1093	17 january 1968	query
1094	17 january 1974	query
1095	17 january 2000	query
1096	17 july 1497	query
1097	17 july 1537	query
1098	17 july 1787	query
1099	17 july 1949	query
1100	17 july 2014	query
1101	17 june 1682	query
1102	17 june 1878	query
1103	17 june 1944	query
1104	17 june 1957	query
1105	17 june 1981	query
1106	17 june 1997	query
1107	17 june 2004	query
1108	17 march 1270	query
1109	17 march 1708	query
1110	17 march 1823	query
1111	17 march 1953	query
1112	17 march 2006	query
1113	17 matches	query
1114	17 may 1569	query
1115	17 may 1662	query
1116	17 may 1727	query
1117	17 may 1807	query
1118	17 may 1885	query
1119	17 may 1926	query
1120	17 may 1966	query
1121	17 may 1974	query
1122	17 may 1975	query
1123	17 may 1992	query
1124	17 may 1997	query
1125	17 naacp image awards	query
1126	17 november 1924	query
1127	17 november 1945	query
1128	17 november 1950	query
1129	17 november 1966	query
1130	17 october 1517	query
1131	17 october 1560	query
1132	17 october 1601 and 28 february 1604	query
1133	17 october 1644	query
1134	17 october 1666	query
1135	17 october 1993	query
1136	17 on us billboard hot r b hip hop songs chart	query
1137	17 september 1462	query
1138	17 september 1547	query
1139	17 september 1669	query
1140	17 september 1889	query
1141	17 september 1993	query
1142	17 september 2017	query
1143	17 years	query
1144	170 plays	query
1145	1700	query
1146	1701	query
1147	1703	query
1148	1706	query
1149	1707	query
1150	1707 11	query
1151	1708 09	query
1152	1709	query
1153	1710	query
1154	1711	query
1155	1712	query
1156	1712 13	query
1157	1713	query
1158	1713 16	query
1159	1714	query
1160	1715	query
1161	1719 1720	query
1162	1721	query
1163	1724	query
1164	1725	query
1165	1726	query
1166	1727 and 1729	query
1167	1728	query
1168	1730	query
1169	1731	query
1170	1732	query
1171	1733	query
1172	1738	query
1173	1741 1792	query
1174	1748	query
1175	175 novels	query
1176	1750	query
1177	1750 1817	query
1178	1750 to 1764	query
1179	1752	query
1180	1753   17 june 1786	query
1181	1755	query
1182	1756	query
1183	1757	query
1184	1758	query
1185	1760	query
1186	1761	query
1187	1765	query
1188	1765 and 1796	query
1189	1765 to 1767	query
1190	1766 1772	query
1191	1767	query
1192	1768	query
1193	1771	query
1194	1776	query
1195	1777	query
1196	1778	query
1197	177th associate justice	query
1198	1780	query
1199	1782	query
1200	1783	query
1201	1785	query
1202	1789	query
1203	1794	query
1204	1795	query
1205	1796	query
1206	1796 courrier de lyon	query
1207	1796 courrier de lyon case	query
1208	1798	query
1209	17th and 4th earl of strathmore and kinghorne	query
1210	17th berlin international film festival	query
1211	17th century	query
1212	17th earl of strathmore and kinghorne	query
1213	17th regiment of light dragoons	query
1214	17th serial with sound	query
1215	18 april 1677	query
1216	18 april 1701	query
1217	18 april 1774	query
1218	18 april 1882	query
1219	18 april 1933	query
1220	18 april 1993	query
1221	18 august 1627	query
1222	18 august 1643	query
1223	18 august 1831	query
1224	18 august 1903	query
1225	18 august 1928	query
1226	18 december 1915	query
1227	18 doctoral degree granting programs	query
1228	18 february 1712	query
1229	18 february 1932	query
1230	18 february 1936	query
1231	18 february 1938	query
1232	18 february 1947 albacete  castile la mancha	query
1233	18 february 1965	query
1234	18 february 1967	query
1235	18 february 1987	query
1236	18 films	query
1237	18 grammy awards	query
1238	18 january 1216	query
1239	18 january 1253 at nicosia	query
1240	18 january 1815	query
1241	18 january 1871	query
1242	18 january 1876	query
1243	18 january 1999	query
1244	18 january 2019	query
1245	18 july 1828	query
1246	18 july 1877	query
1247	18 july 1929	query
1248	18 july 1939	query
1249	18 july 1993	query
1250	18 july 2019	query
1251	18 june 1228	query
1252	18 june 1815	query
1253	18 june 1834	query
1254	18 june 1897   30 july 1990	query
1255	18 june 1926	query
1256	18 march 1639	query
1257	18 march 1890	query
1258	18 march 1939	query
1259	18 march 2012	query
1260	18 may 1850	query
1261	18 may 1873	query
1262	18 may 1924	query
1263	18 may 1985	query
1264	18 november	query
1265	18 november 1664	query
1266	18 november 1847	query
1267	18 november 1960	query
1268	18 november 1976	query
1269	18 october 1482	query
1270	18 october 1939	query
1271	18 october 2018	query
1272	18 october 2019	query
1273	18 on the billboard korea k pop hot 100 weekly singles	query
1274	18 september 1691	query
1275	18 september 1760	query
1276	18 september 1862	query
1277	18 september 1930	query
1278	18 september 1941	query
1279	18 year old	query
1280	18 years	query
1281	180 ad	query
1282	180 films	query
1283	1800	query
1284	1800s	query
1285	1801	query
1286	1803	query
1287	1803 1805	query
1288	1804	query
1289	1807 1886	query
1290	1810	query
1291	1812 1901	query
1292	1813	query
1293	1814	query
1294	1816	query
1295	1817	query
1296	1818	query
1297	1820	query
1298	1822	query
1299	1825	query
1300	1826	query
1301	1827 to 1828	query
1302	1829 to 1830	query
1303	1830	query
1304	1833 to 1859	query
1305	1834	query
1306	1835  paris	query
1307	1836	query
1308	1838	query
1309	1840	query
1310	1840s rural new hampshire	query
1311	1841 to 1846	query
1312	1842	query
1313	1843 and 1846	query
1314	1844	query
1315	1845	query
1316	1848	query
1317	1848 1922	query
1318	1850 session	query
1319	1850s	query
1320	1855	query
1321	1856	query
